cityid;name_en;country_en;nominatim_query;country_code;population;center_lat;center_lon
radom_pl;Radom;Poland;Radom;PL;208587;51.41173;21.14547
reading_gb;Reading;United Kingdom;Reading;GB;218705;51.44858;-0.98916
recklinghausen_de;Recklinghausen;Germany;Recklinghausen;DE;112267;51.60233;7.21882
regensburg_de;Regensburg;Germany;Regensburg;DE;152610;49.01723;12.10646
reims_fr;Reims;France;Reims;FR;184076;49.25109;4.05077
remscheid_de;Remscheid;Germany;Remscheid;DE;110994;51.18489;7.22199
rennes_fr;Rennes;France;Rennes;FR;215366;48.1124;-1.68956
reutlingen_de;Reutlingen;Germany;Reutlingen;DE;115966;48.4924;9.18511
reykjavik_is;Reykjavík;Iceland;Reykjavík;IS;129964;64.11123;-21.84172
riga_lv;Riga;Latvia;Riga;LV;614618;56.96938;24.13132
rijeka_hr;Rijeka;Croatia;Rijeka;HR;128624;45.34233;14.42022
rivne_ua;Rivne;Ukraine;Rivne, Rivne;UA;240451;50.61454;26.25802
rome_it;Rome;Italy;Rome;IT;2759629;41.88979;12.52492
rostock_de;Rostock;Germany;Rostock;DE;208886;54.15018;12.11341
rotterdam_nl;Rotterdam;Netherlands;Rotterdam;NL;623652;51.92836;4.4932
rouen_fr;Rouen;France;Rouen;FR;110169;49.43999;1.09206
rudaslaska_pl;Ruda Slaska;Poland;Ruda Slaska;PL;135965;50.27553;18.86696
ruse_bg;Ruse;Bulgaria;Ruse;BG;135440;43.83077;25.96683
rybnik_pl;Rybnik;Poland;Rybnik;PL;136299;50.10576;18.54825
rzeszow_pl;Rzeszów;Poland;Rzeszów;PL;194775;50.01656;21.98405
shertogenbosch_nl;S-Hertogenbosch;Netherlands;S-Hertogenbosch;NL;150889;51.7092;5.29022
saarbrucken_de;Saarbrücken;Germany;Saarbrücken;DE;180741;49.24325;6.97919
saintdenis_fr;Saint-Denis;France;Saint-Denis;FR;111103;48.93776;2.36547
saintetienne_fr;Saint-Étienne;France;Saint-Étienne;FR;171057;45.43548;4.40762
salamanca_es;Salamanca;Spain;Salamanca;ES;143549;40.96483;-5.6767
salzburg_at;Salzburg;Austria;Salzburg;AT;154211;47.80153;13.0534
salzgitter_de;Salzgitter;Germany;Salzgitter;DE;104948;52.11698;10.3686
santacolomadegramenet_es;Santa Coloma De Gramenet;Spain;Santa Coloma De Gramenet;ES;118489;41.45221;2.205
sarajevo_ba;Sarajevo;Bosnia and Herzegovina;Sarajevo;BA;348363;43.87179;18.37344
schaerbeek_be;Schaerbeek;Belgium;Schaerbeek;BE;127525;50.86263;4.38421
seville_es;Seville;Spain;Seville;ES;684340;37.38323;-5.95998
sheffield_gb;Sheffield;United Kingdom;Sheffield;GB;518090;53.40184;-1.49696
