name_en,country_en,nominatim_query,name,alpha-2,population
Ravenna,Italy,Ravenna,Ravenna,IT,156150
Reading,United Kingdom,Reading,Reading,GB,218705
Recklinghausen,Germany,Recklinghausen,Recklinghausen,DE,112267
Regensburg,Germany,Regensburg,Regensburg,DE,152610
Reggio Di Calabria,Italy,Reggio Di Calabria,Reggio Di Calabria,IT,172753
Reggio Nell'Emilia,Italy,Reggio Nell'Emilia,Reggio Nell'Emilia,IT,170255
Reims,France,Reims,Reims,FR,184076
Remscheid,Germany,Remscheid,Remscheid,DE,110994
Rennes,France,Rennes,Rennes,FR,215366
Reus,Spain,Reus,Reus,ES,105981
Reutlingen,Germany,Reutlingen,Reutlingen,DE,115966
Rijeka,Croatia,Rijeka,Rijeka,HR,128624
Rimini,Italy,Rimini,Rimini,IT,149705
Rivne,Ukraine,Rivne,Rivne,UA,240451
Rostock,Germany,Rostock,Rostock,DE,208886
Rotterdam,Netherlands,Rotterdam,Rotterdam,NL,623652
Rouen,France,Rouen,Rouen,FR,110169
Ruda Slaska,Poland,Ruda Slaska,Ruda Slaska,PL,135965
Ruse,Bulgaria,Ruse,Ruse,BG,135440
Rybnik,Poland,Rybnik,Rybnik,PL,136299
Rzeszów,Poland,Rzeszów,Rzeszów,PL,194775
Saarbrücken,Germany,Saarbrücken,Saarbrücken,DE,180741
Sabadell,Spain,Sabadell,Sabadell,ES,216759
Saint-Denis,France,Saint-Denis,Saint-Denis,FR,111103
Saint-Étienne,France,Saint-Étienne,Saint-Étienne,FR,171057
Salamanca,Spain,Salamanca,Salamanca,ES,143549
Salerno,Italy,Salerno,Salerno,IT,128671
Salzburg,Austria,Salzburg,Salzburg,AT,154211
Salzgitter,Germany,Salzgitter,Salzgitter,DE,104948
San Cristóbal De La Laguna,Spain,San Cristóbal De La Laguna,San Cristóbal De La Laguna,ES,158117
Santa Coloma De Gramenet,Spain,Santa Coloma De Gramenet,Santa Coloma De Gramenet,ES,118489
Santa Cruz De Tenerife,Spain,Santa Cruz De Tenerife,Santa Cruz De Tenerife,ES,208103
Santander,Spain,Santander,Santander,ES,172000
Sassari,Italy,Sassari,Sassari,IT,122333
Schaerbeek,Belgium,Schaerbeek,Schaerbeek,BE,127525
Seville,Spain,Seville,Sevilla,ES,684340
Shauliai,Lithuania,Shauliai,Shauliai,LT,100653
Sheffield,United Kingdom,Sheffield,Sheffield,GB,518090
Siegen,Germany,Siegen,Siegen,DE,102836
Slovyansk,Ukraine,Slovyansk,Slovyansk,UA,103029
Soligorsk,Belarus,Soligorsk,Soligorsk,BY,101525
Solingen,Germany,Solingen,Solingen,DE,159360
Sosnowiec,Poland,Sosnowiec,Sosnowiec,PL,197563
Southampton,United Kingdom,Southampton,Southampton,GB,253651
Split,Croatia,Split,Split,HR,178102
Stara Zagora,Bulgaria,Stara Zagora,Stara Zagora,BG,125732
Stoke-On-Trent,United Kingdom,Stoke-On-Trent,Stoke-On-Trent,GB,270726
Strasbourg,France,Strasbourg,Strasbourg,FR,277270
Stuttgart,Germany,Stuttgart,Stuttgart,DE,634830
Subotica,Serbia,Subotica,Subotica,RS,101920
Sumy,Ukraine,Sumy,Sumy,UA,255672
Syracuse,Italy,Syracuse,Siracusa,IT,117054
Szczecin,Poland,Szczecin,Szczecin,PL,399831
